index	Dominant_Topic	Perc_Contribution	Topic_Keywords	0
0	8.0	0.31349998712539673	تقنية, وجود, تحديد, فيديوه, جاري, يذكر, غاية, جنسية, مخصصة, مرحلة	['أصدرت', 'النقابة', 'الوطنية', 'للصحافة', 'المغربية', 'بيانا', 'تضامنيا', 'مع', 'نقابة', 'الصحافيين', 'الفلسطينيين', 'التي', 'تعرضت', 'لانتقادات', 'لاذعة', 'من', 'طرف', 'مستشار', 'الرئيس', 'الأمريكي', 'جيسون', 'غراين', 'بلات', 'على', 'خلفية', 'تصديها', 'لدعوة', 'البيت', 'الأبيض', 'للصحافيين', 'الفلسطينيين', 'من', 'أجل', 'التقرب', 'أكثر', 'مما', 'يسمى', 'صفقة', 'القرن']
1	27.0	0.5249000191688538	بدون, خصوصا, محاولة, قيادة, خارج, باقي, صحفي, أبيض, بيت, دارالبيضاء	['وكانت', 'النقابة', 'الفلسطينية', 'قد', 'اعتبرت', 'هذه', 'الدعوة', 'محاولة', 'لتجاوز', 'القيادة', 'الفلسطينية', 'ودعت', 'الصحافيين', 'الفلسطينيين', 'إلى', 'مقاطعة', 'دعوة', 'زيارة', 'البيت', 'الأبيض', 'الأمر', 'الذي', 'دفع', 'جيسون', 'غراين', 'بلات', 'إلى', 'مهاجمة', 'النقابة', 'متهما', 'إياها', 'بتهديد', 'وتخوين', 'كل', 'صحفي', 'يلبي', 'الدعوة', 'الأمريكية']
2	24.0	0.5414000153541565	اجتماعي, كامل, نتيجة, طفل, مدير, نفسية, مقرر, عامة, طاقة, قيام	['النقابة', 'الوطنية', 'للصحافة', 'المغربية', 'اعتبرت', 'أن', 'ما', 'كتبه', 'المستشار', 'الأمريكي', 'على', 'تويتر', 'تحريضا', 'خطيرا', 'و', 'انتهاكا', 'صارخا', 'لحرية', 'التعبير', 'وتبريرا', 'محتملا', 'لمهاجمتها', 'من', 'طرف', 'دولة', 'الاحتلال', 'الإسرائيلي', 'وكذا', 'مواصلة', 'الاعتداء', 'على', 'الصحافيين', 'الفلسطينيين', 'ومؤسسات', 'الإعلام', 'الفلسطيني']
3	0.0	0.6531000137329102	وأضاف, ولايات_المتحدة, أمريكية, حصول, عملي, حاجة, دولية, أهمية, جيدة, إشارة	['وأضاف', 'البيان', 'التضامني', 'إننا', 'في', 'النقابة', 'الوطنية', 'للصحافة', 'المغربية', 'نشد', 'بحرارة', 'على', 'أيادي', 'زملائنا', 'في', 'نقابة', 'الصحافيين', 'الفلسطينيين', 'واتحاد', 'الكتاب', 'في', 'الولايات', 'المتحدة', 'الأمريكية', 'الذي', 'أصدر', 'بيانا', 'يندد', 'فيه', 'بتصريحات', 'المسؤول', 'الأمريكي', 'ويعبرمن', 'خلاله', 'عن', 'تضامنهمع', 'زملائنا', 'الصحافيين', 'في', 'فلسطين', 'المحتلة', 'كما', 'أننا', 'نشيد', 'بالبيان', 'الصادر', 'عن', 'اتحاد', 'الصحافيين', 'الأفارقة', 'الذي', 'ساند', 'نقابة', 'الصحافيين', 'الفلسطينيين', 'في', 'مواجهة', 'الغطرسة', 'الأمريكية']
4	23.0	0.22579999268054962	ساعة, حركة, يومي, ماء, مباشرة, يوما, دفاع, نقل, خامسة, تجهيز	['اضطر', 'المستشار', 'لحسن', 'الطلفي', 'رئيس', 'غرفة', 'الجنايات', 'الاستئنافية', 'بمحكمة', 'الاستىناف', 'بالدارالبيضاء', 'التي', 'تنظر', 'في', 'ملف', 'المتهم', 'توفيق', 'بوعشرين', 'خلال', 'مرحلته', 'الاستئنافية', 'إلى', 'رفع', 'الجلسة', 'مباشرة', 'بعد', 'افتتاحها', 'لغياب', 'جميع', 'أعضاء', 'هيأة', 'الدفاع', 'التي', 'تؤازر', 'المتهم']
5	5.0	0.3280999958515167	مرضى, منتج, تشغيل, شهر, أشهر, دقيقة, وأشارت, خطوة, حدود, دورة	['وكانت', 'هيأة', 'المحكمة', 'قد', 'ولجت', 'القاعة', 'رقم', 'من', 'استئنافية', 'البيضاء', 'التي', 'تحتضن', 'المحاكمة', 'في', 'حدود', 'الساعة', 'الرابعة', 'وخمس', 'وعشرين', 'دقيقة', 'من', 'عصر', 'اليوم', 'الثلاثاء', 'وبعد', 'النداء', 'على', 'أسماء', 'دفاع', 'المتهم', 'وضمنهم', 'النقيب', 'محمد', 'زيان', 'والمحامي', 'عبد', 'المولى', 'الماروري', 'تبين', 'له', 'غياب', 'جميع', 'أعضاء', 'الدفاع', 'ليعلن', 'المستشار', 'الطلفي', 'عن', 'رفع', 'الجلسة', 'في', 'انتظار', 'التحاق', 'دفاع', 'المتهم']
6	27.0	0.5016000270843506	بدون, خصوصا, محاولة, قيادة, خارج, باقي, صحفي, أبيض, بيت, دارالبيضاء	['وكان', 'المحامي', 'عبد', 'المولى', 'الماروري', 'أول', 'الملتحقين', 'بمحكمة', 'الاستئناف', 'بالدارالبيضاء', 'لكنه', 'فضل', 'المكوث', 'خارج', 'القاعة', 'رغم', 'النداءات', 'المتواصلة', 'عليه', 'من', 'طرف', 'عون', 'المحكمة', 'حيث', 'يظل', 'المحامي', 'الماروري', 'ببهو', 'المحكمة', 'جالسا', 'على', 'الكرسي', 'الرخامي', 'المجاور', 'للمسجد', 'منتظرا', 'التحاق', 'باقي', 'المحامين']
7	0.0	0.7605999708175659	وأضاف, ولايات_المتحدة, أمريكية, حصول, عملي, حاجة, دولية, أهمية, جيدة, إشارة	['وصف', 'مصطفى', 'الخلفي', 'الناطق', 'الرسمي', 'باسم', 'الحكومة', 'كتاب', 'مغربية', 'الصحراء', 'حقائق', 'وأوهام', 'حول', 'النزاع', 'بالدليل', 'العملي', 'الذي', 'يجعل', 'من', 'كل', 'مترافع', 'متمكنا', 'من', 'تقديم', 'مرافعة', 'جيدة', 'بسبب', 'ما', 'قدمه', 'من', 'أجوبة', 'عن', 'عدد', 'من', 'الأسئلة', 'التي', 'يطرحها', 'الخطاب', 'الانفصالي']
8	0.0	0.515500009059906	وأضاف, ولايات_المتحدة, أمريكية, حصول, عملي, حاجة, دولية, أهمية, جيدة, إشارة	['واعتبر', 'الخلفي', 'خلال', 'الجلسة', 'الختامية', 'لأشغال', 'الملتقى', 'الوطني', 'للترافع', 'المدني', 'عن', 'مغربية', 'الصحراء', 'المنعقد', 'بمراكش', 'ما', 'بين', 'و', 'يوليوز', 'بحضور', 'مشارك', 'أن', 'المترافع', 'عن', 'قضية', 'الصحراء', 'بحاجة', 'لحس', 'نقدي', 'ولغة', 'حقوقية', 'تخضع', 'للمعايير', 'الدولية']
9	32.0	0.5950000286102295	أخرى, عملية, وأشار, رؤية, رجال, يعرف, مكان, معروفة, مكون, تحقيق	['وأشار', 'الوزير', 'المنتدب', 'المكلف', 'بالعلاقات', 'مع', 'البرلمان', 'والمجتمع', 'المدني', 'أن', 'كتاب', 'مغربية', 'الصحراء', 'المكون', 'من', 'صفحة', 'تمت', 'صباغته', 'أول', 'مرة', 'سنة', 'إلا', 'أنه', 'عرف', 'عملية', 'تحيين', 'لضم', 'عدد', 'من', 'المستجدات', 'التي', 'ستكون', 'بين', 'يدي', 'المجتمع', 'المدني', 'موضحا', 'أنه', 'قابل', 'مرة', 'أخرى', 'للتحيين']
